,project,profile,min,max,mean,median,std,overhead
0,activemq-artemis,original,35525,37087,36187.2,36167.5,440.07873033002727,-
1,activemq-artemis,mop,39495,41991,40300.5,40150.0,773.193988882767,11.366726356280683
2,deltaspike,original,39679,41007,40165.4,40193.0,391.41941131675566,-
3,deltaspike,mop,46984,48359,47532.4,47320.0,479.72265135411544,18.341657247282487
4,directory-server,original,15187,15782,15474.2,15478.0,190.0601074514177,-
5,directory-server,mop,20652,25131,21807.9,21458.5,1289.4121356476971,40.93071047291622
6,manifoldcf,original,22010,22540,22252.1,22247.5,184.84495004071806,-
7,manifoldcf,mop,23901,24822,24455.1,24461.0,257.322301145211,9.900189195626481
8,openwebbeans-meecrowave,original,34550,35189,34924.4,34921.0,213.48442566145195,-
9,openwebbeans-meecrowave,mop,48043,50812,48892.0,48750.5,810.6363755305663,39.9938152122871
10,spark,original,1085374,1155168,1115841.4,1113839.0,23147.969271142938,-
11,spark,mop,1301158,1345005,1320065.9,1315394.5,15719.96464125229,18.302287403926762
12,tika,original,25384,26340,25696.6,25678.0,259.44864617106794,-
13,tika,mop,27920,29247,28576.7,28613.5,407.98748619153616,11.208097569328247
14,wicket,original,15494,16441,15945.5,15902.5,339.63223574265675,-
15,wicket,mop,23831,25797,24652.9,24702.0,532.4303710345607,54.607255965632945
