module,profile,passed,time,exception
ArtemisCommons,original,true,36148,
DeltaSpikeCore,original,true,40430,
ApachedsKerberosCodec,original,true,15782,
DeltaMcfCore,original,true,22219,
MeecrowaveCore,original,true,34854,
SparkCore,original,true,1113106,
TikaCore,original,true,25793,
WicketUtil,original,true,15967,
ArtemisCommons,mop,true,39719,
DeltaSpikeCore,mop,true,47796,
ApachedsKerberosCodec,mop,true,21962,
DeltaMcfCore,mop,true,24303,
MeecrowaveCore,mop,true,50812,
SparkCore,mop,true,1340556,
TikaCore,mop,true,29247,
WicketUtil,mop,true,25797,
ArtemisCommons,original,true,36425,
DeltaSpikeCore,original,true,41007,
ApachedsKerberosCodec,original,true,15698,
DeltaMcfCore,original,true,22540,
MeecrowaveCore,original,true,35096,
SparkCore,original,true,1137899,
TikaCore,original,true,25779,
WicketUtil,original,true,16285,
ArtemisCommons,mop,true,41081,
DeltaSpikeCore,mop,true,48195,
ApachedsKerberosCodec,mop,true,21755,
DeltaMcfCore,mop,true,24544,
MeecrowaveCore,mop,true,49608,
SparkCore,mop,true,1345005,
TikaCore,mop,true,28864,
WicketUtil,mop,true,24792,
ArtemisCommons,original,true,37087,
DeltaSpikeCore,original,true,40212,
ApachedsKerberosCodec,original,true,15606,
DeltaMcfCore,original,true,22433,
MeecrowaveCore,original,true,34632,
SparkCore,original,true,1097229,
TikaCore,original,true,25683,
WicketUtil,original,true,15790,
ArtemisCommons,mop,true,39964,
DeltaSpikeCore,mop,true,47816,
ApachedsKerberosCodec,mop,true,21416,
DeltaMcfCore,mop,true,24609,
MeecrowaveCore,mop,true,48568,
SparkCore,mop,true,1326239,
TikaCore,mop,true,28534,
WicketUtil,mop,true,23831,
ArtemisCommons,original,true,36160,
DeltaSpikeCore,original,true,40317,
ApachedsKerberosCodec,original,true,15300,
DeltaMcfCore,original,true,22034,
MeecrowaveCore,original,true,34952,
SparkCore,original,true,1085374,
TikaCore,original,true,25507,
WicketUtil,original,true,15494,
ArtemisCommons,mop,true,40221,
DeltaSpikeCore,mop,true,47285,
ApachedsKerberosCodec,mop,true,20859,
DeltaMcfCore,mop,true,24604,
MeecrowaveCore,mop,true,48170,
SparkCore,mop,true,1313371,
TikaCore,mop,true,28979,
WicketUtil,mop,true,24572,
ArtemisCommons,original,true,36009,
DeltaSpikeCore,original,true,39709,
ApachedsKerberosCodec,original,true,15437,
DeltaMcfCore,original,true,22191,
MeecrowaveCore,original,true,34853,
SparkCore,original,true,1100283,
TikaCore,original,true,25513,
WicketUtil,original,true,15880,
ArtemisCommons,mop,true,40079,
DeltaSpikeCore,mop,true,47264,
ApachedsKerberosCodec,mop,true,22525,
DeltaMcfCore,mop,true,23901,
MeecrowaveCore,mop,true,48839,
SparkCore,mop,true,1301158,
TikaCore,mop,true,27920,
WicketUtil,mop,true,24942,
ArtemisCommons,original,true,35606,
DeltaSpikeCore,original,true,39679,
ApachedsKerberosCodec,original,true,15375,
DeltaMcfCore,original,true,22276,
MeecrowaveCore,original,true,35189,
SparkCore,original,true,1115944,
TikaCore,original,true,25610,
WicketUtil,original,true,15504,
ArtemisCommons,mop,true,40640,
DeltaSpikeCore,mop,true,47229,
ApachedsKerberosCodec,mop,true,20652,
DeltaMcfCore,mop,true,24378,
MeecrowaveCore,mop,true,48346,
SparkCore,mop,true,1303725,
TikaCore,mop,true,28661,
WicketUtil,mop,true,24788,
ArtemisCommons,original,true,35525,
DeltaSpikeCore,original,true,40221,
ApachedsKerberosCodec,original,true,15519,
DeltaMcfCore,original,true,22361,
MeecrowaveCore,original,true,34890,
SparkCore,original,true,1094541,
TikaCore,original,true,25673,
WicketUtil,original,true,16441,
ArtemisCommons,mop,true,39495,
DeltaSpikeCore,mop,true,47041,
ApachedsKerberosCodec,mop,true,25131,
DeltaMcfCore,mop,true,24822,
MeecrowaveCore,mop,true,48662,
SparkCore,mop,true,1308321,
TikaCore,mop,true,28588,
WicketUtil,mop,true,24189,
ArtemisCommons,original,true,36175,
DeltaSpikeCore,original,true,39817,
ApachedsKerberosCodec,original,true,15187,
DeltaMcfCore,original,true,22045,
MeecrowaveCore,original,true,35138,
SparkCore,original,true,1155168,
TikaCore,original,true,26340,
WicketUtil,original,true,16409,
ArtemisCommons,mop,true,41991,
DeltaSpikeCore,mop,true,48359,
ApachedsKerberosCodec,mop,true,21152,
DeltaMcfCore,mop,true,24681,
MeecrowaveCore,mop,true,48864,
SparkCore,mop,true,1309811,
TikaCore,mop,true,28055,
WicketUtil,mop,true,24204,
ArtemisCommons,original,true,36351,
DeltaSpikeCore,original,true,40174,
ApachedsKerberosCodec,original,true,15295,
DeltaMcfCore,original,true,22010,
MeecrowaveCore,original,true,35090,
SparkCore,original,true,1144298,
TikaCore,original,true,25684,
WicketUtil,original,true,15760,
ArtemisCommons,mop,true,39499,
DeltaSpikeCore,mop,true,46984,
ApachedsKerberosCodec,mop,true,21501,
DeltaMcfCore,mop,true,24364,
MeecrowaveCore,mop,true,48043,
SparkCore,mop,true,1317418,
TikaCore,mop,true,28639,
WicketUtil,mop,true,24798,
ArtemisCommons,original,true,36386,
DeltaSpikeCore,original,true,40088,
ApachedsKerberosCodec,original,true,15543,
DeltaMcfCore,original,true,22412,
MeecrowaveCore,original,true,34550,
SparkCore,original,true,1114572,
TikaCore,original,true,25384,
WicketUtil,original,true,15925,
ArtemisCommons,mop,true,40316,
DeltaSpikeCore,mop,true,47355,
ApachedsKerberosCodec,mop,true,21126,
DeltaMcfCore,mop,true,24345,
MeecrowaveCore,mop,true,49008,
SparkCore,mop,true,1335055,
TikaCore,mop,true,28280,
WicketUtil,mop,true,24616,
